user_id,age,subscription_plan,monthly_watch_time_mins,country,favorite_genre,last_login_date,customer_support_tickets
10000,39,Standard,805.8,Brasil,Crime,2025-03-04,99
10001,37,Standard,1173.4,Colombia,Crime,2019-04-02,2
10002,28,Basic,401.0,Colombia,Crime,2018-04-13,0
10003,43,Basic,62.4,Uruguay,Thriller,2021-01-31,0
10004,51,Basic,477.8,Perú,Thriller,2020-09-30,1
10005,20,Basic,670.2,Uruguay,Drama,2020-07-03,2
10006,37,Basic,346.6,Perú,Thriller,2019-07-26,1
10007,31,Standard,974.6,Chile,Acción,2019-02-24,1
10008,36,Premium,1432.2,Colombia,Romance,2025-08-03,2
10009,37,Standard,1375.4,Argentina,Thriller,2024-02-12,1
10010,23,Basic,385.7,Argentina,Drama,2018-12-23,0
10011,46,std,1148.0,Brasil,Comedia,2024-08-15,0
10012,15,Basic,901.9,Perú,Acción,2022-09-25,0
10013,43,Premium,1584.0,Argentina,Documental,2018-05-11,0
10014,45,Standard,1104.6,Perú,Acción,2018-05-03,1
10015,29,Basic,530.5,Perú,Romance,2019-01-19,1
10016,24,Standard,985.7,Perú,Documental,2020-06-14,0
10017,35,Standard,1044.6,Uruguay,Comedia,2020-08-10,1
10018,32,Basic,244.3,Uruguay,ACCIÓN,2023-09-01,1
10019,30,Premium,874.3,Argentina,Drama,2024-10-01,1
10020,17,Basic,223.9,México,Drama,2018-04-19,1
10021,23,Basic,288.4,Argentina,Thriller,2024-04-17,0
10022,33,Basic,14.5,Argentina,Drama,2020-03-25,0
10023,33,Basic,660.4,Argentina,Drama,2025-04-15,0
10024,33,Premium,776.0,Perú,Thriller,2025-11-12,0
10025,18,Premium,4087.7,Brazil,Thriller,2024-02-11,1
10026,40,Basic,723.9,México,Acción,2022-09-15,2
10027,42,Premium,845.5,Uruguay,Romance,2020-06-21,0
10028,22,Premium,757.2,Argentina,Documental,2023-01-14,0
10029,29,Standard,1028.0,Chile,Drama,2024-08-10,1
10030,46,Basic,598.8,Argentina,Comedia,2021-02-13,3
10031,44,Basic,1122.4,Argentina,Documental,2018-01-27,1
10032,32,Basic,0.0,Brasil,Drama,2019-10-16,0
10033,33,Basic,427.3,Perú,Documental,2025-10-30,1
10034,31,Basic,308.8,Colombia,Acción,2022-09-28,1
10035,37,estandar,1114.7,Colombia,Drama,2021-10-25,1
10036,41,Basic,275.7,México,Drama,2021-02-12,0
10037,33,Basic,611.0,Colombia,Documental,2019-09-29,2
10038,59,Premium,757.2,Uruguay,Romance,2020-05-31,0
10039,26,Standard,589.7,Chile,Drama,2021-10-10,0
10040,20,Basic,994.7,Chile,Comedia,2019-02-23,0
10041,39,basico,1119.3,Chile,Documental,2019-01-15,0
10042,25,Basic,612.5,Uruguay,CRIME,2022-04-06,0
10043,32,Basic,330.1,México,Romance,2019-02-01,0
10044,15,Standard,1490.1,México,Drama,2022-01-10,0
10045,29,Basic,740.6,Perú,Acción,2021-11-09,1
10046,27,Premium,1398.6,Perú,Thriller,2024-10-08,1
10047,53,Basic,313.4,Brasil,Comedia,2020-12-19,1
10048,26,Basic,822.8,Perú,comedy,2018-06-27,0
10049,0,Basic,1081.6,Argentina,Romance,2023-02-25,0
10050,55,Standard,979.6,Brasil,Drama,2024-01-06,2
10051,18,Basic,1140.0,México,Crime,2019-05-27,0
10052,25,Basic,465.7,Colombia,Acción,2022-03-31,1
10053,27,Standard,1201.0,Brasil,Romance,11-19-2018,0
10054,34,Standard,1091.9,Brasil,Thriller,2024-03-11,4
10055,41,Standard,1180.4,Argentina,Comedia,2021-04-15,2
10056,40,Basic,889.4,Brasil,CRIME,2025-01-18,0
10057,28,Standard,814.3,Perú,Drama,2024-12-08,1
10058,20,Basic,960.2,Perú,Thriller,2029-01-01,1
10059,39,Standard,2976.6,Brasil,DRAMA,2024-06-22,1
10060,26,Basic,672.5,Perú,Acción,2020-02-27,1
10061,47,Basic,824.5,Colombia,Drama,2025-11-25,1
10062,15,Basic,280.3,Uruguay,Thriller,2018-10-12,2
10063,35,Standard,935.6,Chile,Romance,2018-07-07,0
10064,36,Standard,592.5,brasil,Thriller,01-06-2025,2
10065,37,Standard,1386.1,Perú,THRILLER,2020-07-22,3
10066,16,Basic,427.3,México,Comedia,2021-03-31,0
10067,15,Standard,875.3,Brasil,Drama,2018-11-23,1
10068,36,Basic,814.4,Uruguay,Romance,2020-08-11,1
10069,21,Basic,816.2,Colombia,Documental,2029-01-01,0
10070,51,Standard,237.2,Brasil,Romance,2022-04-06,2
10071,32,Basic,678.5,Argentina,Acción,2021-02-12,0
10072,13,Basic,741.7,Brasil,Documentary,2023-02-01,1
10073,28,Basic,619.5,Argentina,Acción,2025-02-16,0
10074,51,Premium,925.5,Chile,Acción,2022-02-03,1
10075,23,Standard,658.2,Chile,Thriller,2019-10-29,1
10076,38,Basic,1150.4,Uruguay,Crime,2026-15-03,1
10077,18,Premium,4188.7,Chile,Documental,2021-12-26,0
10078,33,Premium,1059.7,Perú,Drama,2020-05-08,0
10079,26,Premium,757.2,Argentina,Crime,2025-07-08,0
10080,38,Standard,1461.7,México,Crime,2020-12-29,1
10081,26,Basic,983.9,Argentina,Comedia,11-14-2025,0
10082,23,Premium,935.3,Chile,Thriller,2025-08-31,0
10083,33,Standard,713.7,México,Documental,2025-04-08,0
10084,27,Basic,1362.6,Brasil,Crime,2018-10-20,3
10085,34,Standard,926.9,Perú,Documental,2024-10-31,0
10086,38,Standard,1400.0,Perú,Comedia,2025-02-13,0
10087,56,Standard,922.8,Chile,DRAMA,2019-12-02,1
10088,38,Standard,839.5,Brasil,Acción,2023-12-28,1
10089,38,Basic,249.2,Argentina,Documental,2020-09-29,2
10090,17,Premium,1311.3,Chile,Thriller,2019-11-01,0
10091,34,Standard,693.6,Uruguay,Comedia,2023-03-09,1
10092,19,Basic,178.7,Perú,Drama,2022-04-04,1
10093,29,Basic,210.9,Uruguay,Drama,2021-01-10,0
10094,36,Standard,861.4,Colombia,Acción,2025-03-06,1
10095,53,Basic,470.3,México,Romance,2026-15-03,2
10096,19,Basic,19.1,Perú,Crime,2024-03-31,0
10097,48,Basic,621.5,Colombia,Thriller,2020-06-18,0
10098,29,Basic,0.0,Argentina,Crime,2025-09-05,1
10099,38,Standard,1377.0,Uruguay,Documental,2021-08-21,0
10100,42,Standard,757.4,México,Comedia,2018-08-18,2
10101,26,basico,394.1,Colombia,Acción,2020-07-27,0
10102,13,Premium,1369.1,Perú,Acción,2018-05-12,0
10103,27,Basic,791.7,México,Acción,2026-15-03,2
10104,45,Basic,306.2,Colombia,Thriller,2022-07-02,0
